1:ROR:!=(java.lang.Object,java.lang.Object):==(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.AnalyzePrototypeProperties@<init>(com.google.javascript.jscomp.AbstractCompiler,com.google.javascript.jscomp.JSModuleGraph,boolean,boolean):122:moduleGraph != null |==> moduleGraph == null
27:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@enterScope(com.google.javascript.jscomp.NodeTraversal):197:symbolStack.peek().scope = t.getScope() |==> <NO-OP>
28:COR:isPrototypePropertyAssign(n):TRUE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):206:isPrototypePropertyAssign(n) |==> false
29:COR:isPrototypePropertyAssign(n):FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):206:isPrototypePropertyAssign(n) |==> true
30:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):207:symbolStack.push(new NameContext(getNameInfoForName(n.getFirstChild().getLastChild().getString(), PROPERTY))) |==> <NO-OP>
31:COR:isGlobalFunctionDeclaration(t, n):TRUE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):209:isGlobalFunctionDeclaration(t, n) |==> false
32:COR:isGlobalFunctionDeclaration(t, n):FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):209:isGlobalFunctionDeclaration(t, n) |==> true
33:ROR:==(int,int):!=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):210:parent.getType() == Token.NAME |==> parent.getType() != Token.NAME
34:ROR:==(int,int):<(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):210:parent.getType() == Token.NAME |==> parent.getType() < Token.NAME
35:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):210:parent.getType() == Token.NAME |==> parent.getType() <= Token.NAME
36:ROR:==(int,int):>(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):210:parent.getType() == Token.NAME |==> parent.getType() > Token.NAME
37:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):210:parent.getType() == Token.NAME |==> parent.getType() >= Token.NAME
38:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):210:parent.getType() == Token.NAME |==> false
39:ROR:==(int,int):TRUE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):210:parent.getType() == Token.NAME |==> true
40:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):213:symbolStack.push(new NameContext(getNameInfoForName(name, VAR))) |==> <NO-OP>
41:COR:NodeUtil.isFunction(n):TRUE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):214:NodeUtil.isFunction(n) |==> false
42:COR:NodeUtil.isFunction(n):FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):214:NodeUtil.isFunction(n) |==> true
43:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):215:symbolStack.push(new NameContext(anonymousNode)) |==> <NO-OP>
44:LVR:TRUE:FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@shouldTraverse(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):217:true |==> false
45:ROR:==(int,int):!=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:n.getType() == Token.GETPROP |==> n.getType() != Token.GETPROP
46:ROR:==(int,int):<(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:n.getType() == Token.GETPROP |==> n.getType() < Token.GETPROP
47:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:n.getType() == Token.GETPROP |==> n.getType() <= Token.GETPROP
48:ROR:==(int,int):>(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:n.getType() == Token.GETPROP |==> n.getType() > Token.GETPROP
49:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:n.getType() == Token.GETPROP |==> n.getType() >= Token.GETPROP
50:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:n.getType() == Token.GETPROP |==> false
51:ROR:==(int,int):TRUE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):221:n.getType() == Token.GETPROP |==> true
52:COR:propName.equals("prototype"):TRUE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):223:propName.equals("prototype") |==> false
53:COR:propName.equals("prototype"):FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):223:propName.equals("prototype") |==> true
54:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):224:processPrototypeParent(t, parent) |==> <NO-OP>
55:COR:compiler.getCodingConvention().isExported(propName):TRUE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):225:compiler.getCodingConvention().isExported(propName) |==> false
56:COR:compiler.getCodingConvention().isExported(propName):FALSE:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):225:compiler.getCodingConvention().isExported(propName) |==> true
57:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):226:addGlobalUseOfSymbol(propName, t.getModule(), PROPERTY) |==> <NO-OP>
58:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):228:addSymbolUse(propName, t.getModule(), PROPERTY) |==> <NO-OP>
59:ROR:==(int,int):!=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:n.getType() == Token.OBJECTLIT |==> n.getType() != Token.OBJECTLIT
60:ROR:==(int,int):<(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:n.getType() == Token.OBJECTLIT |==> n.getType() < Token.OBJECTLIT
61:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:n.getType() == Token.OBJECTLIT |==> n.getType() <= Token.OBJECTLIT
62:ROR:==(int,int):>(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:n.getType() == Token.OBJECTLIT |==> n.getType() > Token.OBJECTLIT
63:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:n.getType() == Token.OBJECTLIT |==> n.getType() >= Token.OBJECTLIT
64:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:n.getType() == Token.OBJECTLIT |==> false
65:ROR:==(int,int):TRUE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):230:n.getType() == Token.OBJECTLIT |==> true
66:ROR:==(int,int):!=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN |==> parent.getType() != Token.ASSIGN
67:ROR:==(int,int):<(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN |==> parent.getType() < Token.ASSIGN
68:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN |==> parent.getType() <= Token.ASSIGN
69:ROR:==(int,int):>(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN |==> parent.getType() > Token.ASSIGN
70:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN |==> parent.getType() >= Token.ASSIGN
71:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN |==> false
72:ROR:==(int,int):TRUE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN |==> true
73:ROR:==(int,int):!=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getFirstChild().getType() == Token.GETPROP |==> parent.getFirstChild().getType() != Token.GETPROP
74:ROR:==(int,int):<(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getFirstChild().getType() == Token.GETPROP |==> parent.getFirstChild().getType() < Token.GETPROP
75:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getFirstChild().getType() == Token.GETPROP |==> parent.getFirstChild().getType() <= Token.GETPROP
76:ROR:==(int,int):>(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getFirstChild().getType() == Token.GETPROP |==> parent.getFirstChild().getType() > Token.GETPROP
77:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getFirstChild().getType() == Token.GETPROP |==> parent.getFirstChild().getType() >= Token.GETPROP
78:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getFirstChild().getType() == Token.GETPROP |==> false
79:ROR:==(int,int):TRUE(int,int):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getFirstChild().getType() == Token.GETPROP |==> true
80:COR:&&(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP |==> parent.getType() == Token.ASSIGN != (parent.getFirstChild().getType() == Token.GETPROP)
81:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP |==> parent.getType() == Token.ASSIGN == (parent.getFirstChild().getType() == Token.GETPROP)
82:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP |==> false
83:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP |==> parent.getType() == Token.ASSIGN
84:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP |==> parent.getFirstChild().getType() == Token.GETPROP
85:COR:&&(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP |==> true
86:COR:&&(boolean,boolean):||(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP |==> parent.getType() == Token.ASSIGN || parent.getFirstChild().getType() == Token.GETPROP
87:COR:&&(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP && parent.getFirstChild().getLastChild().getString().equals("prototype") |==> (parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP) != parent.getFirstChild().getLastChild().getString().equals("prototype")
88:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP && parent.getFirstChild().getLastChild().getString().equals("prototype") |==> (parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP) == parent.getFirstChild().getLastChild().getString().equals("prototype")
89:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP && parent.getFirstChild().getLastChild().getString().equals("prototype") |==> false
90:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP && parent.getFirstChild().getLastChild().getString().equals("prototype") |==> parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP
91:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):236:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP && parent.getFirstChild().getLastChild().getString().equals("prototype") |==> parent.getFirstChild().getLastChild().getString().equals("prototype")
92:COR:&&(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):235:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP && parent.getFirstChild().getLastChild().getString().equals("prototype") |==> true
93:COR:&&(boolean,boolean):||(boolean,boolean):com.google.javascript.jscomp.AnalyzePrototypeProperties$ProcessProperties@visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):234:parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP && parent.getFirstChild().getLastChild().getString().equals("prototype") |==> parent.getType() == Token.ASSIGN && parent.getFirstChild().getType() == Token.GETPROP || parent.getFirstChild().getLastChild().getString().equals("prototype")
